275;in Ordnung|alles klar;allright;2021-12-31;Film corner|Unit 1|Kl. 6
276;Glückstag;lucky day;2021-12-31;Reading corner|Unit 1|Kl. 6
277;im Bus;on the bus;2021-12-31;Reading corner|Unit 1|Kl. 6
278;holen;get;2021-12-31;Reading corner|Unit 1|Kl. 6
279;zum Mitnehmen;takeaway;2021-12-31;Reading corner|Unit 1|Kl. 6
280;heute Abend|heue Nacht;tonight;2021-12-31;Reading corner|Unit 1|Kl. 6
281;Punktestand;score;2021-12-31;Reading corner|Unit 1|Kl. 6
282;Auge;eye;2021-12-31;Reading corner|Unit 1|Kl. 6
283;alles;everything;2021-12-31;Reading corner|Unit 1|Kl. 6
284;aus ... heraus;out of;2021-12-31;Reading corner|Unit 1|Kl. 6
285;Haltestelle|Halt;stop;2021-12-31;Reading corner|Unit 1|Kl. 6
286;morgen;tomorow;2021-12-31;Reading corner|Unit 1|Kl. 6
287;Treppe;stairs;2021-12-31;Reading corner|Unit 1|Kl. 6
288;aussteigen;get off;2021-12-31;Reading corner|Unit 1|Kl. 6
289;beenden|enden|aufhören;finish;2021-12-31;Reading corner|Unit 1|Kl. 6
290;Tasche|Hosentasche;pocket;2021-12-31;Reading corner|Unit 1|Kl. 6
291;aufschauen|nachschauen;look up;2021-12-31;Reading corner|Unit 1|Kl. 6
292;anrufen|telefonieren;phone;2021-12-31;Reading corner|Unit 1|Kl. 6
293;Gesellschaft|Firma;company;2021-12-31;Reading corner|Unit 1|Kl. 6
294;genießen;enjoy;2021-12-31;Reading corner|Unit 1|Kl. 6
295;Abendessen;dinner;2021-12-31;Reading corner|Unit 1|Kl. 6
296;überhaupt nicht, gar nicht;not at all;2021-12-31;Reading corner|Unit 1|Kl. 6
297;vorsichtig|sorgfältig;careful;2021-12-31;Reading corner|Unit 1|Kl. 6
298;plötzlich|auf einmal;suddenly;2021-12-31;Reading corner|Unit 1|Kl. 6
299;schreien|rufen;shout;2021-12-31;Reading corner|Unit 1|Kl. 6
300;geben;gave;2021-12-31;Reading corner|Unit 1|Kl. 6
301;Auseinandersetzeung|streit;argument;2021-12-31;Station 2|Unit 1|Kl. 6
302;der Blaue;the blue one;2021-12-31;Station 2|Unit 1|Kl. 6
303;ausleihen;borrow;2021-12-31;Station 2|Unit 1|Kl. 6
304;bringen|mitbringen;bring;2021-12-31;Station 2|Unit 1|Kl. 6
305;verstehen;understand;2021-12-31;Station 2|Unit 1|Kl. 6
306;verlieren;lose;2021-12-31;Station 2|Unit 1|Kl. 6
307;müssen;have to;2021-12-31;Station 2|Unit 1|Kl. 6
308;meins|meine;mine;2021-12-31;Station 2|Unit 1|Kl. 6
309;wenn|als;when;2021-12-31;Station 2|Unit 1|Kl. 6
310;aussehen|sehen;look;2021-12-31;Station 2|Unit 1|Kl. 6
311;ihre;hers;2021-12-31;Station 2|Unit 1|Kl. 6
312;Das ist passiert.;That´s what happend.;2021-12-31;Station 2|Unit 1|Kl. 6
313;geschehen|passieren;happen;2021-12-31;Station 2|Unit 1|Kl. 6
314;leihen|verleihen;lend;2021-12-31;Station 2|Unit 1|Kl. 6
315;so;so;2021-12-31;Station 2|Unit 1|Kl. 6
316;derselbe|gleich;the same;2021-12-31;Station 2|Unit 1|Kl. 6
317;wie;as;2021-12-31;Station 2|Unit 1|Kl. 6
318;Macht nichts|Schon gut|Mach dir nichts draus;Never mind;2021-12-31;Station 2|Unit 1|Kl. 6
319;seins|seiner;his;2021-12-31;Station 2|Unit 1|Kl. 6
320;Klub|Verein;club;2021-12-31;Station 2|Unit 1|Kl. 6
321;klein;little;2021-12-31;Station 2|Unit 1|Kl. 6
322;Telefon;phone;2021-12-31;Station 2|Unit 1|Kl. 6
323;Was ist los?|Was stimmt nicht?;What´s wrong?;2021-12-31;Station 2|Unit 1|Kl. 6
324;benutzen|verwenden;use;2021-12-31;Station 2|Unit 1|Kl. 6
325;Es ist egal.;It doesen´t matter.;2021-12-31;Station 2|Unit 1|Kl. 6
326;Mach dir keine Sorgen.;Don´t worry.;2021-12-31;Station 2|Unit 1|Kl. 6
327;Konzert;concert;2021-12-31;Station 2|Unit 1|Kl. 6
328;wieder|noch einmal;again;2021-12-31;Station 2|Unit 1|Kl. 6
329;überrascht;surprised;2021-12-31;Feelings|Unit 1|Kl. 6
330;beunruhigt|besorgt;worried;2021-12-31;Feelings|Unit 1|Kl. 6
331;wütend|verärgert|zornig|böse;angry;2021-12-31;Feelings|Unit 1|Kl. 6
332;aufgeregt|begeistert;excited;2021-12-31;Feelings|Unit 1|Kl. 6
333;unglücklich;unhappy;2021-12-31;Feelings|Unit 1|Kl. 6
334;Sommer;summer;2021-12-31;Station 1|Unit 1|Kl. 6
335;Eltern;parents;2021-12-31;Station 1|Unit 1|Kl. 6
336;übernachten|bleiben;stay;2021-12-31;Station 1|Unit 1|Kl. 6
337;Stadt|Großstadt;city;2021-12-31;Station 1|Unit 1|Kl. 6
338;Cousin|Cousine;cousin;2021-12-31;Station 1|Unit 1|Kl. 6
339;singen;sing;2021-12-31;Station 1|Unit 1|Kl. 6
340;bevor;befor;2021-12-31;Station 1|Unit 1|Kl. 6
341;heiraten;get married;2021-12-31;Station 1|Unit 1|Kl. 6
342;Hochzeit;weeding;2021-12-31;Station 1|Unit 1|Kl. 6
343;Ende|Schluss;end;2021-12-31;Station 1|Unit 1|Kl. 6
344;essen;ate;2021-12-31;Station 1|Unit 1|Kl. 6
345;Kricket;cricket;2021-12-31;Station 1|Unit 1|Kl. 6
346;Ball;ball;2021-12-31;Station 1|Unit 1|Kl. 6
347;Großvater;grandfather;2021-12-31;Station 1|Unit 1|Kl. 6
348;gut;well;2021-12-31;Station 1|Unit 1|Kl. 6
349;(sich) fühlen;feel;2021-12-31;Station 1|Unit 1|Kl. 6
350;Holly is dran.;It´s Holly´s turn.;2021-12-31;Station 1|Unit 1|Kl. 6
351;zusammen;everyone;2021-12-31;Station 1|Unit 1|Kl. 6
352;nehmen;took;2021-12-31;Station 1|Unit 1|Kl. 6
353;eine Band gründen;start a band;2022-01-01;Holiday activities|Unit 1|Kl. 6
354;fotogarfieren|Fotos machen;take photos;2022-01-01;Holiday activities|Unit 1|Kl. 6
355;einkaufen gehen;go shopping;2022-01-01;Holiday activities|Unit 1|Kl. 6
356;ein Museum besuchen;visit a museum;2022-01-01;Holiday activities|Unit 1|Kl. 6
357;in einem Hotel übernachten;stay in a hotel;2022-01-01;Holiday activities|Unit 1|Kl. 6
